,time,ctx,pollingcause,cacheage,matchlevel,carrierMktcarrier,office,OTA,Country,classes,England,ROW,US
20439,22/04/2016 21:53,1,1,34,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20440,22/04/2016 21:55,1,1,2,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20441,22/04/2016 22:22,1,1,186,0,1,MIL,EX37BA,ROW,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,1,0
20442,22/04/2016 22:49,1,1,116,0,1,SEA,EX37BA,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20443,22/04/2016 22:59,1,1,37,0,1,MIL,EX37BA,ROW,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,1,0
20444,22/04/2016 22:59,1,1,37,0,1,MIL,EX37BA,ROW,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,1,0
20445,22/04/2016 23:05,1,1,16,0,1,SEA,EX37BA,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20446,22/04/2016 23:06,1,1,71,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20447,22/04/2016 23:32,1,1,26,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20448,22/04/2016 23:33,1,18,28,0,1,DCA,1S21CM,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20449,22/04/2016 23:36,1,1,3,0,1,SEA,EX37BA,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20450,22/04/2016 23:37,1,1,5,0,1,LON,IN38MT,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20451,22/04/2016 23:37,1,1,0,0,1,LON,IN38MT,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20452,22/04/2016 23:38,1,1,1,0,1,LON,IN38MT,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20453,22/04/2016 23:38,1,1,1,0,1,LON,IN38MT,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20454,22/04/2016 23:38,1,1,0,0,1,LON,IN38MT,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
